unique_id,adjpoll_clinton,adjpoll_trump,handle,fecha,index_weighted
2016330_Clinton vs. Trump,46.070771666666666,40.72915,Clinton vs. Trump,2016-03-30,0.0003623790143052595
2016331_Clinton vs. Trump,46.19312166666666,38.742595,Clinton vs. Trump,2016-03-31,5.624279469712123e-05
201633_Clinton vs. Trump,49.63909,37.782598888888884,Clinton vs. Trump,2016-03-03,0.00013557470106995148
201634_Clinton vs. Trump,39.111783333333335,38.28554833333333,Clinton vs. Trump,2016-03-04,3.994975962068024e-07
201635_Clinton vs. Trump,42.656216666666666,34.22924666666666,Clinton vs. Trump,2016-03-05,3.461311237414397e-08
201636_Clinton vs. Trump,45.844654999999996,41.411824583333335,Clinton vs. Trump,2016-03-06,3.5593190353173575e-05
201637_Clinton vs. Trump,42.346243333333334,32.44883,Clinton vs. Trump,2016-03-07,4.2522056098527766e-08
201638_Clinton vs. Trump,43.351773333333334,32.56041666666667,Clinton vs. Trump,2016-03-08,4.858091715265123e-08
201639_Clinton vs. Trump,44.451429999999995,32.573613333333334,Clinton vs. Trump,2016-03-09,4.972507122507047e-08
2016410_Clinton vs. Trump,53.791914,34.630198666666665,Clinton vs. Trump,2016-04-10,0.0009420060231251052
2016411_Clinton vs. Trump,45.13381916666666,38.44657083333333,Clinton vs. Trump,2016-04-11,0.0001339467205957107
2016412_Clinton vs. Trump,47.286228333333334,38.960793333333335,Clinton vs. Trump,2016-04-12,1.3643023412137258e-05
2016413_Clinton vs. Trump,46.263355,39.612183333333334,Clinton vs. Trump,2016-04-13,1.2210602741856754e-05
2016414_Clinton vs. Trump,46.54372166666667,39.58074833333333,Clinton vs. Trump,2016-04-14,1.6388860128294872e-05
2016415_Clinton vs. Trump,44.46689222222222,39.19845222222222,Clinton vs. Trump,2016-04-15,6.268386246605132e-05
2016416_Clinton vs. Trump,39.458995,35.281565,Clinton vs. Trump,2016-04-16,3.536001902160667e-05
2016417_Clinton vs. Trump,49.73843,35.97035277777778,Clinton vs. Trump,2016-04-17,0.00032105608106800985
2016418_Clinton vs. Trump,43.82154,34.97533333333333,Clinton vs. Trump,2016-04-18,2.6796458771926913e-07
2016419_Clinton vs. Trump,36.358756666666665,43.05139499999999,Clinton vs. Trump,2016-04-19,5.828277090665387e-06
201641_Clinton vs. Trump,43.45751333333333,34.41848666666667,Clinton vs. Trump,2016-04-01,1.6409688773488312e-07
2016420_Clinton vs. Trump,46.88896583333334,40.978896666666664,Clinton vs. Trump,2016-04-20,4.164287187203287e-05
2016421_Clinton vs. Trump,40.38883333333333,41.97300333333333,Clinton vs. Trump,2016-04-21,2.5231537681937337e-05
2016422_Clinton vs. Trump,45.166290000000004,40.40329333333333,Clinton vs. Trump,2016-04-22,5.33916088065103e-07
2016423_Clinton vs. Trump,44.71987333333333,35.88315333333333,Clinton vs. Trump,2016-04-23,3.912528908442618e-07
2016424_Clinton vs. Trump,44.70601166666666,39.62391833333333,Clinton vs. Trump,2016-04-24,3.769349467892743e-05
2016425_Clinton vs. Trump,46.90206166666667,40.17379333333333,Clinton vs. Trump,2016-04-25,6.721116440098114e-06
2016426_Clinton vs. Trump,41.01627555555555,39.62590888888889,Clinton vs. Trump,2016-04-26,3.929896165369096e-06
2016427_Clinton vs. Trump,47.56965066666667,38.526123999999996,Clinton vs. Trump,2016-04-27,0.00012493312057310524
2016428_Clinton vs. Trump,42.072966666666666,43.4015975,Clinton vs. Trump,2016-04-28,0.0012775901468274863
2016429_Clinton vs. Trump,45.278211666666664,41.191965,Clinton vs. Trump,2016-04-29,8.770066519627801e-07
201642_Clinton vs. Trump,44.84455333333333,36.14365166666666,Clinton vs. Trump,2016-04-02,6.325096982452103e-06
2016430_Clinton vs. Trump,49.540995,37.56458833333333,Clinton vs. Trump,2016-04-30,5.751927362000926e-07
201643_Clinton vs. Trump,47.54681185185185,35.87386814814815,Clinton vs. Trump,2016-04-03,0.000578746409234944
201644_Clinton vs. Trump,47.73394,36.73071111111111,Clinton vs. Trump,2016-04-04,1.2553956441606688e-07
201645_Clinton vs. Trump,37.90454833333333,38.379835,Clinton vs. Trump,2016-04-05,1.1481857700395654e-07
201646_Clinton vs. Trump,40.46124666666667,35.09309,Clinton vs. Trump,2016-04-06,1.2496315083415624e-07
201647_Clinton vs. Trump,47.34266416666667,38.48706833333333,Clinton vs. Trump,2016-04-07,0.0007854480234844233
201648_Clinton vs. Trump,45.540234999999996,37.301248333333334,Clinton vs. Trump,2016-04-08,3.9904600392508147e-05
201649_Clinton vs. Trump,52.03577666666666,32.443315000000005,Clinton vs. Trump,2016-04-09,0.000865050181045387
2016510_Clinton vs. Trump,39.558147777777776,44.79023111111111,Clinton vs. Trump,2016-05-10,3.139398204439708e-06
2016511_Clinton vs. Trump,38.69068,43.374406666666665,Clinton vs. Trump,2016-05-11,0.00046907164425818987
2016512_Clinton vs. Trump,41.27435666666667,41.16437,Clinton vs. Trump,2016-05-12,0.00027361297973472955
