retweets_clinton,favorites_clinton,tw_count_cl,retweets_trump,favorites_trump,tw_count_tr,adjpoll_clinton,adjpoll_trump,index_weighted,date,Open,High,Low,Close,Adj Close,Volume,market_op_cl
18548.0,36165.0,11.0,133671.0,444477.0,54.0,40.32938,34.45666,1.599783138617645e-09,2016-05-17,2065.04,2065.69,2040.82,2047.21,2047.21,4108960000.0,market_open
17839.0,42532.0,13.0,29109.0,90287.0,7.0,41.124343333333336,32.88200333333333,2.1492225705699674e-09,2016-05-18,2044.38,2060.61,2034.49,2047.63,2047.63,4101320000.0,market_open
22657.0,49349.0,22.0,18735.0,55307.0,3.0,40.71932,33.70747333333333,2.504011234464522e-09,2016-05-19,2044.21,2044.21,2025.91,2040.04,2040.04,3846770000.0,market_open
18951.0,41938.0,19.0,54666.0,160972.0,12.0,47.29393166666667,40.28409,1.7691057183447106e-06,2016-05-02,2067.17,2083.42,2066.11,2081.43,2081.43,3841110000.0,market_open
29224.0,59049.0,18.0,71477.0,208172.0,18.0,40.51376,33.834763333333335,2.673530021537925e-09,2016-05-20,2041.88,2058.35,2041.88,2052.32,2052.32,3507650000.0,market_open
14600.0,27870.0,8.0,91031.0,196222.0,9.0,41.10875333333333,33.86156666666667,2.4105300610361262e-09,2016-05-21,,,,,,,market_closed
12435.0,31365.0,6.0,56502.0,154899.0,8.0,47.16302,40.30889,3.8347468661498833e-08,2016-05-22,,,,,,,market_closed
15326.0,34639.0,13.0,37538.0,115117.0,8.0,45.690866666666665,42.629176666666666,1.061699751855083e-07,2016-05-23,2052.23,2055.58,2047.26,2048.04,2048.04,3055480000.0,market_open
23406.0,43729.0,17.0,37967.0,104226.0,9.0,41.06328333333334,46.38348333333334,5.567871063951573e-10,2016-05-24,2052.65,2079.67,2052.65,2076.06,2076.06,3627340000.0,market_open
22806.0,45392.0,15.0,50736.0,163823.0,15.0,49.26058333333333,46.796776666666666,9.888049075474022e-09,2016-05-25,2078.93,2094.73,2078.93,2090.54,2090.54,3859160000.0,market_open
21110.0,41227.0,17.0,40807.0,130267.0,9.0,44.511536666666665,42.16751,5.079789666015683e-07,2016-05-26,2091.44,2094.3,2087.08,2090.1,2090.1,3230990000.0,market_open
14512.0,25433.0,8.0,28433.0,89157.0,7.0,43.18304153846154,42.56979307692308,1.0602640537554564,2016-05-27,2090.06,2099.06,2090.06,2099.06,2099.06,3079150000.0,market_open
9208.0,18457.0,4.0,45364.0,137448.0,8.0,42.00133066666667,41.981718,1.2729870577048876,2016-05-28,,,,,,,market_closed
6436.0,18020.0,4.0,35674.0,110042.0,6.0,42.660592666666666,43.38562566666667,1.1706985162877337,2016-05-29,,,,,,,market_closed
21121.0,46861.0,20.0,56109.0,171554.0,11.0,42.480639601990056,42.53530333333333,1.6938886245283682,2016-05-03,2077.18,2077.18,2054.89,2063.37,2063.37,4173390000.0,market_open
10891.0,23527.0,4.0,47174.0,161717.0,13.0,41.94061323076923,40.65890830769231,0.9043647524105324,2016-05-30,,,,,,,market_closed
13073.0,26428.0,12.0,37346.0,126567.0,9.0,43.610562549019605,42.38706647058823,1.0878631200932505,2016-05-31,2100.13,2103.48,2088.66,2096.95,2096.95,4514410000.0,market_open
62075.0,121719.0,17.0,25034.0,79032.0,6.0,43.63706070707071,41.5621705050505,1.2284416132818392,2016-05-04,2060.3,2060.3,2045.55,2051.12,2051.12,4058560000.0,market_open
39537.0,64357.0,20.0,126764.0,236776.0,7.0,44.21216428571429,42.62833166666667,0.9870458439317844,2016-05-05,2052.95,2060.23,2045.77,2050.63,2050.63,4008530000.0,market_open
20112.0,31998.0,10.0,91430.0,272364.0,16.0,43.55721122807017,41.80948736842105,1.478534700863202,2016-05-06,2047.77,2057.72,2039.45,2057.14,2057.14,3796350000.0,market_open
21401.0,39034.0,8.0,24556.0,73339.0,5.0,41.95727347826087,42.064727777777776,1.3367778007664757,2016-05-07,,,,,,,market_closed
7788.0,27106.0,5.0,21763.0,74349.0,7.0,43.86522388888889,42.42498388888889,0.0733506633752596,2016-05-08,,,,,,,market_closed
10518.0,19391.0,9.0,56639.0,171453.0,19.0,42.14965989417989,43.69179634920635,1.0623411096471491,2016-05-09,2057.55,2064.15,2054.31,2058.69,2058.69,3788620000.0,market_open
