unique_id_x,retweets,favorites,handle_x,fecha,adjpoll_clinton,adjpoll_trump,index_weighted
realDonaldTrump_2016627,17931,58272,realDonaldTrump,2016-06-27,42.54113,43.22254833333333,3.243880400761889e-06
HillaryClinton_2016628,29074,70238,HillaryClinton,2016-06-28,40.9615,34.134980000000006,2.4797767204161882e-09
realDonaldTrump_2016628,59956,178280,realDonaldTrump,2016-06-28,40.9615,34.134980000000006,2.4797767204161882e-09
HillaryClinton_2016629,24377,55158,HillaryClinton,2016-06-29,38.28806,49.79203666666667,2.8663011232177687e-06
realDonaldTrump_2016629,41097,128221,realDonaldTrump,2016-06-29,38.28806,49.79203666666667,2.8663011232177687e-06
HillaryClinton_201663,53188,99361,HillaryClinton,2016-06-03,45.71399666666667,39.103946666666666,2.2706011875930453e-07
realDonaldTrump_201663,62561,173001,realDonaldTrump,2016-06-03,45.71399666666667,39.103946666666666,2.2706011875930453e-07
HillaryClinton_2016630,25984,62314,HillaryClinton,2016-06-30,41.34534,35.704683333333335,3.1195761756023704e-09
realDonaldTrump_2016630,41196,115585,realDonaldTrump,2016-06-30,41.34534,35.704683333333335,3.1195761756023704e-09
HillaryClinton_201664,30210,63445,HillaryClinton,2016-06-04,41.539323333333336,36.42837,3.424280370915402e-09
realDonaldTrump_201664,37653,93554,realDonaldTrump,2016-06-04,41.539323333333336,36.42837,3.424280370915402e-09
HillaryClinton_201665,24368,53400,HillaryClinton,2016-06-05,42.53500666666667,35.051186666666666,3.5017248639030467e-09
realDonaldTrump_201665,21138,59666,realDonaldTrump,2016-06-05,42.53500666666667,35.051186666666666,3.5017248639030467e-09
HillaryClinton_201666,20988,47937,HillaryClinton,2016-06-06,43.44609,39.605873333333335,1.5525726716436598e-08
realDonaldTrump_201666,60871,169808,realDonaldTrump,2016-06-06,43.44609,39.605873333333335,1.5525726716436598e-08
HillaryClinton_201667,58413,113521,HillaryClinton,2016-06-07,43.78279333333333,40.87931222222223,6.572751457392669e-07
realDonaldTrump_201667,23835,78692,realDonaldTrump,2016-06-07,43.78279333333333,40.87931222222223,6.572751457392669e-07
HillaryClinton_201668,175047,454446,HillaryClinton,2016-06-08,40.43690333333333,40.90974833333333,3.6320334295453452e-09
